"","primary_com_name","species_group"
"418","Mikado Pheasant","Grouse, Quail, and Allies"
"419","Elliot's Pheasant","Grouse, Quail, and Allies"
"420","Hume's Pheasant","Grouse, Quail, and Allies"
"421","Golden Pheasant","Grouse, Quail, and Allies"
"422","Lady Amherst's Pheasant","Grouse, Quail, and Allies"
"423","Ring-necked Pheasant","Grouse, Quail, and Allies"
"424","Cheer Pheasant","Grouse, Quail, and Allies"
"425","Tibetan Eared-Pheasant","Grouse, Quail, and Allies"
"426","White Eared-Pheasant","Grouse, Quail, and Allies"
"427","Brown Eared-Pheasant","Grouse, Quail, and Allies"
"428","Blue Eared-Pheasant","Grouse, Quail, and Allies"
"429","Edwards's Pheasant","Grouse, Quail, and Allies"
"430","Swinhoe's Pheasant","Grouse, Quail, and Allies"
"431","Bulwer's Pheasant","Grouse, Quail, and Allies"
"432","Kalij Pheasant","Grouse, Quail, and Allies"
"433","Silver Pheasant","Grouse, Quail, and Allies"
"434","Crestless Fireback","Grouse, Quail, and Allies"
"435","Siamese Fireback","Grouse, Quail, and Allies"
"436","Salvadori's Pheasant","Grouse, Quail, and Allies"
"437","Crested Fireback","Grouse, Quail, and Allies"
"438","Vietnamese Crested Argus","Grouse, Quail, and Allies"
"439","Malayan Crested Argus","Grouse, Quail, and Allies"
"440","Great Argus","Grouse, Quail, and Allies"
"441","Congo Peacock","Grouse, Quail, and Allies"
"442","Indian Peafowl","Grouse, Quail, and Allies"
"443","Green Peafowl","Grouse, Quail, and Allies"
"444","Scaly-breasted Partridge","Grouse, Quail, and Allies"
"445","Chestnut-necklaced Partridge","Grouse, Quail, and Allies"
"446","Crimson-headed Partridge","Grouse, Quail, and Allies"
"447","Red Spurfowl","Grouse, Quail, and Allies"
"448","Painted Spurfowl","Grouse, Quail, and Allies"
"449","Sri Lanka Spurfowl","Grouse, Quail, and Allies"
"450","Palawan Peacock-Pheasant","Grouse, Quail, and Allies"
"451","Bornean Peacock-Pheasant","Grouse, Quail, and Allies"
"452","Malayan Peacock-Pheasant","Grouse, Quail, and Allies"
"453","Germain's Peacock-Pheasant","Grouse, Quail, and Allies"
"454","Hainan Peacock-Pheasant","Grouse, Quail, and Allies"
"455","Gray Peacock-Pheasant","Grouse, Quail, and Allies"
"456","Mountain Peacock-Pheasant","Grouse, Quail, and Allies"
"457","Bronze-tailed Peacock-Pheasant","Grouse, Quail, and Allies"
"458","Mountain Bamboo-Partridge","Grouse, Quail, and Allies"
"459","Chinese Bamboo-Partridge","Grouse, Quail, and Allies"
"460","Taiwan Bamboo-Partridge","Grouse, Quail, and Allies"
"461","Green Junglefowl","Grouse, Quail, and Allies"
"462","Red Junglefowl","Grouse, Quail, and Allies"
"463","Gray Junglefowl","Grouse, Quail, and Allies"
"464","Sri Lanka Junglefowl","Grouse, Quail, and Allies"
"465","Latham's Francolin","Grouse, Quail, and Allies"
"466","Crested Francolin","Grouse, Quail, and Allies"
"467","Gray Francolin","Grouse, Quail, and Allies"
"468","Swamp Francolin","Grouse, Quail, and Allies"
"469","Chinese Francolin","Grouse, Quail, and Allies"
"470","Black Francolin","Grouse, Quail, and Allies"
"471","Painted Francolin","Grouse, Quail, and Allies"
"472","Coqui Francolin","Grouse, Quail, and Allies"
"473","White-throated Francolin","Grouse, Quail, and Allies"
"474","Schlegel's Francolin","Grouse, Quail, and Allies"
"475","Ring-necked Francolin","Grouse, Quail, and Allies"
"476","Red-winged Francolin","Grouse, Quail, and Allies"
"477","Finsch's Francolin","Grouse, Quail, and Allies"
"478","Moorland Francolin","Grouse, Quail, and Allies"
"479","Gray-winged Francolin","Grouse, Quail, and Allies"
"480","Orange River Francolin","Grouse, Quail, and Allies"
"481","Shelley's Francolin","Grouse, Quail, and Allies"
"482","Tibetan Snowcock","Grouse, Quail, and Allies"
"483","Altai Snowcock","Grouse, Quail, and Allies"
"484","Caucasian Snowcock","Grouse, Quail, and Allies"
"485","Caspian Snowcock","Grouse, Quail, and Allies"
"486","Himalayan Snowcock","Grouse, Quail, and Allies"
"487","See-see Partridge","Grouse, Quail, and Allies"
"488","Sand Partridge","Grouse, Quail, and Allies"
"489","Brown Quail","Grouse, Quail, and Allies"
"490","Snow Mountain Quail","Grouse, Quail, and Allies"
"491","Blue-breasted Quail","Grouse, Quail, and Allies"
"492","Blue Quail","Grouse, Quail, and Allies"
"493","Madagascar Partridge","Grouse, Quail, and Allies"
"494","Common Quail","Grouse, Quail, and Allies"
"495","Japanese Quail","Grouse, Quail, and Allies"
"496","Harlequin Quail","Grouse, Quail, and Allies"
"497","Rain Quail","Grouse, Quail, and Allies"
"498","Stubble Quail","Grouse, Quail, and Allies"
"499","New Zealand Quail","Grouse, Quail, and Allies"
"500","Barbary Partridge","Grouse, Quail, and Allies"
"501","Arabian Partridge","Grouse, Quail, and Allies"
"502","Red-legged Partridge","Grouse, Quail, and Allies"
"503","Chukar","Grouse, Quail, and Allies"
"504","Rock Partridge","Grouse, Quail, and Allies"
"505","Philby's Partridge","Grouse, Quail, and Allies"
"506","Przevalski's Partridge","Grouse, Quail, and Allies"
"507","Jungle Bush-Quail","Grouse, Quail, and Allies"
"508","Rock Bush-Quail","Grouse, Quail, and Allies"
"509","Painted Bush-Quail","Grouse, Quail, and Allies"
"510","Manipur Bush-Quail","Grouse, Quail, and Allies"
"511","Himalayan Quail","Grouse, Quail, and Allies"
"512","Hartlaub's Francolin","Grouse, Quail, and Allies"
"513","Cameroon Francolin","Grouse, Quail, and Allies"
"514","Handsome Francolin","Grouse, Quail, and Allies"
"515","Chestnut-naped Francolin","Grouse, Quail, and Allies"
"516","Black-fronted Francolin","Grouse, Quail, and Allies"
"517","Erckel's Francolin","Grouse, Quail, and Allies"
"518","Djibouti Francolin","Grouse, Quail, and Allies"
"519","Swierstra's Francolin","Grouse, Quail, and Allies"
"520","Ahanta Francolin","Grouse, Quail, and Allies"
"521","Gray-striped Francolin","Grouse, Quail, and Allies"
"522","Jackson's Francolin","Grouse, Quail, and Allies"
"523","Red-billed Francolin","Grouse, Quail, and Allies"
